@relation 'city_day_new-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1-2,5,7-8,12-14,16'

@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
53.94,?,12.54,10.01,18.85,24.79,249
49.34,?,8.67,9.75,15.82,26.39,213
?,?,?,?,?,?,135
?,?,?,?,?,?,?
?,?,?,?,?,?,?
42.22,?,9.74,10.17,14.36,14.84,?
39.43,?,10.1,12.67,16.95,11.63,268
42.33,?,9.31,11.31,19.61,15.38,267
26.75,?,6.77,9.8,19.37,17.5,216
34.16,?,5.46,9.66,18.59,17.44,212
30.07,?,5.73,9.82,18.28,17.65,214
25.54,?,5.56,9.5,15.28,16.47,222
38.47,?,5.7,10.63,17.44,17.34,216
42.55,?,6.59,10.36,17.85,20.24,236
38.1,?,7.04,10.2,18.46,16.83,225
27.22,?,6.34,12.02,17.38,12.94,231
41.81,?,9.77,10.75,18.03,22.44,298
75.03,?,9.47,11.23,17.61,41.28,267
?,?,?,?,?,?,236
30.48,?,7.43,16.49,18.79,6.38,?
75.06,?,6.35,14.78,19.31,6,301
85.36,?,7.59,14.48,7.63,20.62,311
124.97,?,9.72,13.2,6.74,26.4,313
86.63,?,6.39,11.74,9.97,20.38,267
70.34,?,7.1,11.25,12.49,20.13,232
50.49,?,5.04,10.91,13.29,22.39,229
42.25,?,6.55,11.07,9.61,24.3,227
